,Unnamed: 0,key_phrases,review_polarity
0,0,"['the price', 'a sale', 'it', 'a decent experience', 'business class', 'no more legroom', 'economy class', 'short-haul fleet', 'a 4 hour flight', 'Fast track', 'security', 'The lounge', 'Istanbul airport', 'it', 'the public', 'who', 'usage', 'a long queue', 'entry', 'which', 'Boarding', 'cabin crew', 'their service', '-miss', 'Eg', 'Some people', 'a “welcome', 'some', 'Half', 'the cabin', 'coffee', 'dinner', 'not the other half', 'drinks', 'the meal', 'a choice', 'three mains', 'the menu']","{'neg': 0.05, 'neu': 0.864, 'pos': 0.086, 'compound': 0.7708}"
1,1,"[' Flight', 'time', 'strong tail winds', 'The flight', 'no catering', 'economy passenger', 'Heathrow', '3 and a half hours', 'we', 'a small bottle', 'water', 'a small packet', 'corn snacks', 'Nothing', 'a low-cost carrier experience', 'this sense', 'the light panels', 'the seats', 'the back', 'the plan', ""the unfortunate passenger's head"", 'the whole flight', 'poor maintenance', 'cabin', 'I', 'another airline', 'this route', 'the future', 'their competitors', 'full meal service', 'this route', 'the economy cabin']","{'neg': 0.128, 'neu': 0.857, 'pos': 0.015, 'compound': -0.9531}"
2,2,"[' Very Poor Business class product', 'BA', 'the other airline leaders', 'they', 'the seat', 'it', 'a 2-4-2 layout', 'The cabin', 'The food', 'business class', 'economy quality', 'a china dish', 'the price', 'course', 'premier levels', 'the whole fight', 'return', 'the cabin crew', 'who', 'I', 'them', 'such a poor product', 'I', 'BA business', 'their', 'no other options', 'I', 'no choice']","{'neg': 0.13, 'neu': 0.808, 'pos': 0.062, 'compound': -0.7082}"
4,4,"['Absolutely pathetic business class product', 'BA', 'other International airlines', 'the business class market', 'seating', 'I', 'a typing mistake', 'you', 'someone', 'someone', 'you', 'aisle access', 'The crew', 'this layout', 'they', 'little window openings', 'service', 'passengers', 'the 2 center seats', 'BA', 'most other European-based airlines', 'a factual Intra-European business class product', 'they', 'business class', 'Intra-Europe flights', 'the same 3+3 seating', 'the aircraft', 'the only difference', 'the middle seat', 'business class', 'passengers', 'a meal', 'drinks', 'this', 'the higher cost', ""BA's Trans-Atlantic business class product"", 'seating', 'The biggest surprise', 'both the LIS/LHR', 'LHR/IAH flights', 'BA', 'fact', 'their food quality', 'it', 'the WORST business class configurations', 'ANY International airline', 'I', 'The entertainment  system', 'small screens', 'my laptop screen', 'twice the size', 'an airline', 'The flight crew', 'which', 'the best one', 'a BA crew', 'BA', 'the quality', 'carriers', 'Singapore', 'Emirates', 'Qatar', 'Etihad', 'EVA', 'ANA', 'Japan', 'Air New Zealand', 'Qantas', 'many others', 'BA', 'US-based airlines', 'Delta', 'American', 'United', 'which', 'the same Universe', 'terms', 'a high-quality business class product', 'the biggest slaps', 'the face', 'BA', 'business class passengers', 'seats', 'they', 'thousands', 'dollars', 'business class', 'Several hundred US dollars', 'Trans-Atlantic flights', 'you', 'flight time', 'you', 'a seat', 'no cost', 'Certainly another BA Management decision', 'that', 'a functioning brain']","{'neg': 0.069, 'neu': 0.802, 'pos': 0.128, 'compound': 0.9746}"
6,6,"['This', 'our first flight', 'British Airways', 'over 13 years', 'I', 'them', 'we', 'we', 'little interaction', 'ground staff - staff', 'the lounge', 'Cabin crew', 'the flight', 'Our meals', 'drinks', 'The seats', 'economy seats', 'the middle row', 'We', 'Stockholm', 'a snow shower', 'which', 'a nice welcome', 'Stockholm', 'Bags', 'JFK', '20 mins']","{'neg': 0.071, 'neu': 0.697, 'pos': 0.231, 'compound': 0.969}"
7,7,"['I', 'a highly disappointing experience', 'British Airways', 'their customer service', 'my initial flight leg', 'I', 'a connection', 'London Heathrow', 'a mere 1 hour and 30 minutes', 'the impracticality', 'this', 'I', 'British Airways', '10 minutes', 'a more reasonable layover', '3-4 hours', 'the customer support representative', 'an inability', 'my flight', 'the logistical challenges', 'a short layover', 'a terminal change', 'additional security procedures', 'I', 'no assistance', 'the frustration', 'the representative', 'my account', 'I', 'multiple options', 'our conversation', 'the use', 'military time format', 'the lack', 'initial options', 'the communication issues', 'Both phone and email support', 'I', 'customer service', 'India', 'the subpar service', 'This experience', 'me', 'my flight', 'a strong resolve', 'British Airways', 'the future', 'The lack', 'assistance', 'blame-shifting', 'overall incompetence', 'customer service', 'it', 'I', 'others', 'British Airways', 'their appalling customer service']","{'neg': 0.14, 'neu': 0.767, 'pos': 0.093, 'compound': -0.8855}"
9,9,"['two desks', 'premium', 'one economy', 'just one queue', 'front', 'the premium check', 'most passengers', 'it', 'economy', 'That', 'those', 'club', 'higher status', 'no separate queue', 'I', 'line', 'another passenger', 'query', 'we', 'a new line', 'front', 'the economy check', 'desk', 'premium passengers', 'the staff', 'charge', 'Security', 'the airport', 'the lounge', 'This', 'a generic airport lounge', 'all airlines', 'it', 'Nice layout', 'seating options', 'reasonable food and drink options', 'an outdoor terrace', 'which', 'Boarding', 'everyone', 'board', 'the flight', 'we', 'I', 'they', 'no rush', 'it', 'the boarding experience', 'board', 'the club Europe seats', 'European business standards', 'the meal service', 'BA', 'the proper meal option', 'the options', 'quality BA', 'everyone', 'the good meal', 'they', 'the time', 'they', 'me', 'I', 'the option', 'vegetarian sausage', 'a salad', 'I', 'a hot meal', 'the sausage', 'I', 'it', 'the most disgusting onboard meals', 'I', 'any cabin class', 'some mush', 'similar consistency', 'mashed potato', 'a sausage shape', 'it', 'you', 'the meal options', 'the vegetarian meal', 'you', 'advance', 'all passengers', 'a choice', 'two decent meals', 'people', 'such a substandard alternative', 'their first choice', 'I', 'it', 'board', 'the flight', 'the cabin crew', 'I', 'avios', 'the flight', 'it', 'good value', 'money', 'me']","{'neg': 0.06, 'neu': 0.812, 'pos': 0.128, 'compound': 0.987}"
12,12,"['I', 'Frankfurt', 'Glasgow', 'London', 'the flight', 'London', 'Frankfurt', 'This', 'I', 'London', 'I', 'no accommodation', 'I', 'a flight', 'London City airport', 'which', 'train', 'I', 'an uber', 'a hotel', '(London prices', 'I', 'the phone', 'I', 'all the money', 'My flight', 'London city airport', 'London Heathrow', 'I', 'that flight', 'a new one', 'Lufthansa', 'I', 'the money', 'I', 'the money', 'the hotel', 'compensation', 'cancelled flight', 'compensation', 'cancelled flight', 'the extra food', 'I', 'the uber', 'the actual cost', 'the flight', 'I', 'British Airways', 'They', 'me', 'me', 'the issue', 'weather conditions', 'other non-BA flights', 'I', 'total', 'the loss', 'a work day', 'It', 'they', 'people', 'Worst service/airline']","{'neg': 0.148, 'neu': 0.821, 'pos': 0.031, 'compound': -0.9751}"
13,13,"['Much better experience', 'CPT', 'LHR', 'a new A350', 'Checkin', 'I', 'the Bidvest lounge', 'CPT', 'it', ""BA's lounge"", 'Boarding', 'The new business class club suites', 'the wrong seat', '1A', '1K', 'which', 'the passenger', '1A', 'We', 'a seat switch', 'a row', 'it', 'staff memorise', 'which side', 'the plane', 'which', 'it', ""Captain's announcement"", 'point', 'Welcome drink', 'the correct temperature', 'me', '- previously BA', 'IFE system', 'everything', 'it', 'business class passengers', 'wifi', 'I', 'Cocktail', 'The nuts', 'a cheap plastic tray', 'which', 'other airlines', 'something', 'A female flight attendant', 'my order', 'I', 'Rooibas panacotta', 'the chicken breast', 'She', 'me', 'you', 'a P', 'a C', 'It', 'such a bizarre thing', 'I', 'I', 'she', 'you', 'beef', 'sea', 'Confusion', 'she', 'me', 'she', 'a checklist', 'passenger orders', 'they', 'first letters', 'she', '""P', 'panacotta', '""C', 'chicken', 'an order', 'a passenger', 'code', 'panacotta', 'your main dish', 'every other restaurant / airline', 'the world', 'The internal coding', 'food ordering', 'She', 'me', 'I', 'her jargon', 'The food', 'it', 'recent flights', 'I', 'BA', 'caterer', 'it', 'The panacotta', 'the chicken', 'good restaurant quality', 'The wine', 'I', 'the food', 'BA business class', 'the wines', 'Air France', 'which', 'I', 'The wine', 'time', 'I', 'it', 'lass time', 'I', 'BA business', 'Cheese', 'last time', 'I', ""a good night's sleep"", 'Plenty', 'snacks', 'you', 'them', 'they', 'Breakfast', 'the coffee', 'it', 'all a vastly improved service offering', 'The staff', 'their feet', 'it', 'an extra flight attendant', 'so many business class seats', 'Overall summary', 'passenger proposition', 'It', 'I', 'a point', 'me', 'the wrong seat', 'another point', 'the bizarre interaction', 'the female flight attendant', 'who', 'my food order', 'me', 'internal jargon codes']","{'neg': 0.047, 'neu': 0.791, 'pos': 0.162, 'compound': 0.9971}"
14,14,"['Once again a terrible business class experience', 'BA', 'The flight', '4.5 hours', 'The plane', 'problems', 'the seats', 'business class', 'departure', 'Food', 'BA', 'advertised menu', 'a result', 'the delay', 'we', 'our connecting flight', 'Heathrow', 'us', 'the next connection', 'they', 'the second last flight', 'the day', 'which', 'over an hour', 'we', 'an additional 4 hour delay', 'Heathrow', 'no point', 'we', 'our compensation rights', 'check', 'connections', 'any vouchers', 'the delays', 'Etihad', 'Qatar', 'Virgin business class equivalents', 'the last year', 'it', 'the gulf', 'BA', 'its rivals']","{'neg': 0.131, 'neu': 0.853, 'pos': 0.016, 'compound': -0.9465}"
